State_Name	Area Ranking	Total Area (square miles)	Total Area (square km)	Land Area(mi?)	Land Area(km?)	Population Ranking	Population	State	Capital City
Alaska	1	663267	1717854	570640.95	1477953	23	4833722	AL	Montgomery
Texas	2	268580	695621	261231.71	676587	48	735132	AK	Juneau
California	3	163695	423970	155779.22	403466	15	6626624	AZ	Phoenix
Montana	4	147042	380838	145545.80	376962	33	2959373	AR	Little Rock
New Mexico	5	121589	314915	121298.15	314161	1	38332521	CA	Sacramento
Arizona	6	113998	295254	113594.08	294207	22	5268367	CO	Denver
Nevada	7	110560	286351	109781.18	284332	30	3596080	CT	Hartford
Colorado	8	104093	269601	103641.89	268431	46	925749	DE	Dover
Wyoming	10	97813	253336	97093.14	251470	4	19552860	FL	Tallahassee
Oregon	9	98380	254805	95988.01	248608.00	50	646449	DC	
Idaho	14	83570	216446	82643.12	214045	5	12882135	IL	Springfield
Utah	13	84898	219887	82169.62	212818	40	1612136	ID	Boise
Kansas	15	82276	213096	81758.72	211754	16	6570902	IN	Indianapolis
Minnesota	12	86938	225171	79626.74	206232	41	1404054	HI	Honolulu
Nebraska	16	77358	200356	76824.17	198974	31	3090416	IA	Des Moines
South Dakota	17	77121	199742	75811.00	196350	35	2893957	KS	Topeka
North Dakota	19	70700	183112	69000.80	178711	25	4625470	LA	Baton Rouge
Missouri	21	69704	180533	68741.52	178040	19	5928814	MD	Annapolis
Oklahoma	20	69899	181035	68594.92	177660	42	1328302	ME	Augusta
Washington	18	71300	184665	66455.52	172119	26	4395295	KY	Frankfort
Georgia	24	59425	153909	57513.49	148959	21	5420380	MN	St. Paul
Michigan	11	96716	250494	56538.90	146435	8	9992167	GA	Atlanta
Iowa	26	56271	145743	55857.13	144669	18	6044171	MO	Jefferson City
Illinois	25	57914	149998	55518.93	143793	32	2991207	MS	Jackson
Wisconsin	23	65498	169639	54157.80	140268	9	9895622	MI	Lansing
Florida	22	65755	170304	53624.76	138887	14	6692824	MA	Boston
Arkansas	29	53179	137732	52035.48	134771	36	2790136	NV	Carson City
Alabama	30	52419	135765	50645.33	131171	43	1323459	NH	Concord
North Carolina	28	53818	139389	48617.91	125920	38	1868516	NE	Lincoln
New York	27	54556	141299	47126.40	122057	45	1015165	MT	Helena
Mississippi	32	48431	125434	46923.27	121531	37	2085287	NM	Santa Fe
Pennsylvania	33	46056	119283	44742.70	115883	3	19651127	NY	Albany
Louisiana	31	51840	134264	43203.90	111898	11	8899339	NJ	Trenton
Tennessee	36	42144	109151	41234.90	106798	7	11570808	OH	Columbus
Ohio	34	44825	116096	40860.69	105829	10	9848060	NC	Raleigh
Virginia	35	42774	110785	39490.09	102279	49	723393	ND	Bismarck
Kentucky	37	40410	104659	39486.34	102269	28	3850568	OK	Oklahoma City
Indiana	38	36418	94321	35826.11	92789	27	3930065	OR	Salem
Maine	39	35385	91646	30842.92	79883	6	12773801	PA	Harrisburg
South Carolina	40	32020	82932	30060.70	77857	44	1051511	RI	Providence
West Virginia	41	24230	62755	24038.21	62259	24	4774839	SC	Columbia
Maryland	42	12407	32133	9707.24	25142	47	844877	SD	Pierre
Vermont	45	9615	24901	9216.66	23871	34	2900872	UT	Salt Lake City
New Hampshire	46	9350	24216	8952.65	23187	51	626630	VT	Montpelier
Massachusetts	44	10555	27336	7800.06	20202	2	26448193	TX	Austin
New Jersey	47	8722	22588	7354.22	19047	12	8260405	VA	Richmond
Hawaii	43	10931	28311	6422.63	16635	17	6495978	TN	Nashville
Connecticut	48	5544	14357	4842.36	12542	13	6971406	WA	Olympia
Guam	54	570.62	1478	3423.78	8868.00	54	161785.00	GU	
Puerto Rico		5324.84	13791	3423.78	8868	29	3615086	PR	
Delaware	49	2489	6447	1948.54	5047	39	1854304	WV	Charleston
Rhode Island	50	1545	4002	1033.81	2678	20	5742713	WI	Madison
US Virgin Islands	52	732.93	1898	182.33	472	55	103574.00	VI	
American Samoa	53	581.05	1505	134.32	348	56	54343.00	AS	
Northern Mariana Islands	51	1975.57	5117	76.46	198	57	52344.00	MP	
District of Columbia	51	68.25	176.75	61.05	158	53	582658	WY	Cheyenne
